,ANO,UF,RACACOR,TOTAL_POPULATION,PERCENTAGE_TOTAL_POPULATION,TOTAL_SUICIDALS,PERCENTAGE_TOTAL_SUICIDALS,PERCENTAGE_SUICIDALS
53,2021,Acre,Branca,142400,0.1616161616161616,8,0.125,5.617977528089888e-05
54,2021,Amazonas,Branca,574560,0.1443298969072164,33,0.1122448979591836,5.7435254803675854e-05
55,2021,Roraima,Branca,122220,0.21875,3,0.0681818181818181,2.454590083456063e-05
56,2021,Pará,Branca,1484950,0.17,34,0.0911528150134048,2.289639381797367e-05
57,2021,Amapá,Branca,130350,0.1515151515151515,1,0.0208333333333333,7.671653241273494e-06
58,2021,Tocantins,Branca,302860,0.1919191919191919,25,0.1602564102564102,8.254639107178234e-05
59,2021,Maranhão,Branca,1210060,0.1717171717171717,52,0.16,4.2973075715253786e-05
60,2021,Piauí,Branca,657800,0.2,57,0.1623931623931624,8.665247795682578e-05
61,2021,Ceará,Branca,2401880,0.26,96,0.1213653603034134,3.9968691191899676e-05
62,2021,Rio Grande do Norte,Branca,1388790,0.3939393939393939,42,0.1794871794871795,3.024215324131078e-05
63,2021,Paraíba,Branca,1292160,0.3232323232323232,34,0.1328125,2.6312530955918773e-05
64,2021,Pernambuco,Branca,2980960,0.3163265306122449,117,0.2215909090909091,3.9249100960764315e-05
65,2021,Alagoas,Branca,940240,0.2828282828282828,2,0.0137931034482758,2.127116480898494e-06
66,2021,Sergipe,Branca,514360,0.2222222222222222,11,0.088,2.1385799828913603e-05
67,2021,Bahia,Branca,2843540,0.19,105,0.1325757575757575,3.692580375166166e-05
68,2021,Minas Gerais,Branca,8988420,0.42,770,0.4652567975830816,8.566577885768578e-05
69,2021,Espírito Santo,Branca,1436750,0.3535353535353535,64,0.32,4.454497998955977e-05
70,2021,RJ,Branca,7858350,0.4545454545454545,447,0.5126146788990825,5.688216992116666e-05
71,2021,SP,Branca,27052939,0.5918367257644962,1658,0.683429513602638,6.128724128642733e-05
