,ANO,UF,RACACOR,TOTAL_PESSOAS,CENSO_total/sum_pessoas_racacor
197,2020,PI,Parda,2362320,0.72
198,2020,CE,Parda,6336959,0.696969663640946
199,2020,RN,Parda,1908360,0.5454545454545454
200,2020,PB,Parda,2491160,0.62
201,2020,PE,Parda,6022170,0.6428571428571429
202,2020,AL,Parda,2273920,0.6868686868686869
203,2020,SE,Parda,1669680,0.72
204,2020,BA,Parda,8648380,0.5858585858585859
205,2020,MG,Parda,10641000,0.5
206,2020,ES,Parda,2111200,0.52
207,2020,RJ,Parda,7293720,0.42
208,2020,SP,Parda,14810560,0.32653061224489793
209,2020,PR,Parda,3450900,0.30612244897959184
210,2020,SC,Parda,1013740,0.14
211,2020,RS,Parda,1482520,0.13
212,2020,MS,Parda,1342110,0.5
213,2020,MT,Parda,2083200,0.6
214,2020,GO,Parda,4056119,0.5699999395727852
215,2020,DF,Parda,1557030,0.5151515151515151
216,2021,RO,Parda,1101050,0.6161616161616161
217,2021,AC,Parda,685300,0.7777777777777778
218,2021,AM,Parda,3283200,0.8247422680412371
219,2021,RR,Parda,395760,0.7083333333333334
220,2021,PA,Parda,6463900,0.74
221,2021,AP,Parda,669130,0.7777777777777778
222,2021,TO,Parda,1083920,0.6868686868686869
223,2021,MA,Parda,5053780,0.7171717171717171
224,2021,PI,Parda,2368080,0.72
225,2021,CE,Parda,6281840,0.68
226,2021,RN,Parda,1851720,0.5252525252525253
227,2021,PB,Parda,2422800,0.6060606060606061
228,2021,PE,Parda,5769600,0.6122448979591837
229,2021,AL,Parda,2182700,0.6565656565656566
230,2021,SE,Parda,1566460,0.6767676767676768
231,2021,BA,Parda,8829940,0.59
232,2021,MG,Parda,10272480,0.48
233,2021,ES,Parda,2134600,0.5252525252525253
234,2021,RJ,Parda,6985200,0.40404040404040403
235,2021,SP,Parda,15392190,0.33673470124429067
236,2021,PR,Parda,3475200,0.3
237,2021,SC,Parda,1099050,0.15
238,2021,RS,Parda,1488240,0.13
239,2021,MS,Parda,1384000,0.5050505050505051
240,2021,MT,Parda,2107200,0.6060607803722822
241,2021,GO,Parda,4253310,0.5959595959595959
242,2021,DF,Parda,1546000,0.5050505050505051
