,ANO,UF,RACACOR,TOTAL_PESSOAS,sim_total/sum_pessoas_racacor
235,2021,GO,Indígena,2,0.003205128205128205
236,2021,GO,Parda,388,0.6217948717948718
237,2021,GO,Preta,37,0.05929487179487179
238,2021,MA,Amarela,2,0.006153846153846154
239,2021,MA,Branca,52,0.16
240,2021,MA,Indígena,5,0.015384615384615385
241,2021,MA,Parda,230,0.7076923076923077
242,2021,MA,Preta,36,0.11076923076923077
243,2021,MG,Amarela,2,0.0012084592145015106
244,2021,MG,Branca,770,0.4652567975830816
245,2021,MG,Indígena,4,0.002416918429003021
246,2021,MG,Parda,730,0.44108761329305135
247,2021,MG,Preta,149,0.09003021148036254
248,2021,MS,Branca,96,0.32764505119453924
249,2021,MS,Indígena,33,0.11262798634812286
250,2021,MS,Parda,149,0.5085324232081911
251,2021,MS,Preta,15,0.051194539249146756
252,2021,MT,Amarela,2,0.00816326530612245
253,2021,MT,Branca,82,0.3346938775510204
254,2021,MT,Indígena,3,0.012244897959183673
255,2021,MT,Parda,138,0.563265306122449
256,2021,MT,Preta,20,0.08163265306122448
257,2021,PA,Branca,34,0.09115281501340483
258,2021,PA,Indígena,2,0.005361930294906166
259,2021,PA,Parda,317,0.8498659517426274
260,2021,PA,Preta,20,0.05361930294906166
261,2021,PB,Branca,34,0.1328125
262,2021,PB,Parda,216,0.84375
263,2021,PB,Preta,6,0.0234375
264,2021,PE,Branca,117,0.2215909090909091
265,2021,PE,Indígena,1,0.001893939393939394
266,2021,PE,Parda,392,0.7424242424242424
267,2021,PE,Preta,18,0.03409090909090909
268,2021,PI,Branca,57,0.1623931623931624
269,2021,PI,Parda,270,0.7692307692307693
270,2021,PI,Preta,24,0.06837606837606838
271,2021,PR,Amarela,3,0.002904162633107454
272,2021,PR,Branca,735,0.7115198451113263
273,2021,PR,Indígena,12,0.011616650532429816
274,2021,PR,Parda,256,0.24782187802516942
275,2021,PR,Preta,27,0.026137463697967087
276,2021,RJ,Amarela,3,0.0034403669724770644
277,2021,RJ,Branca,447,0.5126146788990825
278,2021,RJ,Indígena,1,0.0011467889908256881
279,2021,RJ,Parda,336,0.3853211009174312
280,2021,RJ,Preta,85,0.09747706422018348
281,2021,RN,Amarela,1,0.004273504273504274
282,2021,RN,Branca,42,0.1794871794871795
283,2021,RN,Indígena,2,0.008547008547008548
284,2021,RN,Parda,183,0.782051282051282
285,2021,RN,Preta,6,0.02564102564102564
286,2021,RO,Branca,42,0.2937062937062937
287,2021,RO,Indígena,4,0.027972027972027972
