,ANO,UF,ESTADO,RACACOR,TOTAL_POPULATION,PERCENTAGE_OF_TOTAL,TOTAL_SUICIDALS,percentage_of_total
107,2020,TO,Tocantins,Preta,192394.0,12.360688956433636,16,15.09433962264151
108,2020,MA,Maranhão,Preta,750480.0,10.685483870967742,13,4.406779661016949
109,2020,PI,Piauí,Preta,295290.0,9.01803607214429,22,7.213114754098362
110,2020,CE,Ceará,Preta,468384.0,5.151515151515151,6,1.0752688172043012
111,2020,RN,Rio Grande do Norte,Preta,261516.0,7.4074074074074066,2,0.9345794392523364
112,2020,PB,Paraíba,Preta,225008.0,5.628140703517588,1,0.4201680672268907
113,2020,PE,Pernambuco,Preta,621335.0,6.578947368421052,18,4.235294117647059
114,2020,SE,Sergipe,Preta,213348.0,9.246231155778894,3,2.34375
115,2020,BA,Bahia,Preta,3325153.0,22.457200402819737,79,11.3997113997114
116,2020,MG,Minas Gerais,Preta,2383584.0,11.21121121121121,141,9.24590163934426
117,2020,ES,Espírito Santo,Preta,410060.0,10.140562248995984,11,5.0691244239631335
118,2020,RJ,Rio de Janeiro,Preta,2292312.0,13.253012048192772,93,12.516823687752352
119,2020,SP,São Paulo,Preta,3424942.0,7.535641547861507,113,5.131698455949137
120,2020,PR,Paraná,Preta,391102.0,3.451776649746193,22,2.5142857142857142
121,2020,SC,Santa Catarina,Preta,195507.0,2.708124373119358,14,1.8842530282637957
122,2020,RS,Rio Grande do Sul,Preta,707048.0,6.218655967903711,62,4.387827317763623
123,2020,MS,Mato Grosso do Sul,Preta,167079.0,6.218144750254842,8,3.361344537815126
124,2020,MT,Mato Grosso,Preta,340256.0,9.879032258064516,11,4.954954954954955
125,2020,GO,Goiás,Preta,533700.0,7.530120481927711,32,5.755395683453238
126,2020,DF,Distrito Federal,Preta,283929.0,9.384460141271443,12,6.217616580310881
127,2021,RO,Rondônia,Preta,148010.0,8.25780463242699,9,6.293706293706294
128,2021,AM,Amazonas,Preta,123120.0,3.0800821355236137,3,1.020408163265306
129,2021,RR,Roraima,Preta,38412.0,6.947368421052631,1,2.272727272727273
130,2021,PA,Pará,Preta,777415.0,8.98989898989899,20,5.361930294906166
131,2021,AP,Amapá,Preta,62568.0,7.236180904522612,1,2.083333333333333
132,2021,TO,Tocantins,Preta,186498.0,11.866125760649089,19,12.17948717948718
133,2021,MA,Maranhão,Preta,775862.0,10.99899091826438,36,11.076923076923077
134,2021,PI,Piauí,Preta,276276.0,8.41683366733467,24,6.837606837606838
135,2021,CE,Ceará,Preta,554280.0,6.048387096774194,11,1.390644753476612
136,2021,RN,Rio Grande do Norte,Preta,295563.0,8.324974924774322,6,2.564102564102564
137,2021,PB,Paraíba,Preta,290736.0,7.243460764587525,6,2.34375
138,2021,PE,Pernambuco,Preta,711584.0,7.474747474747474,18,3.4090909090909087
139,2021,AL,Alagoas,Preta,208196.0,6.256306760847628,1,0.6896551724137931
140,2021,SE,Sergipe,Preta,240814.0,10.341365461847388,7,5.6000000000000005
141,2021,BA,Bahia,Preta,3217690.0,21.695257315842586,85,10.732323232323232
142,2021,MG,Minas Gerais,Preta,2204303.0,10.32064128256513,149,9.003021148036254
143,2021,ES,Espírito Santo,Preta,504915.0,12.361809045226131,12,6.0
144,2021,RJ,Rio de Janeiro,Preta,2479746.0,14.31451612903226,85,9.747706422018348
145,2021,SP,São Paulo,Preta,3358296.0,7.317073170731707,115,4.740313272877164
146,2021,PR,Paraná,Preta,428608.0,3.737373737373737,27,2.6137463697967087
147,2021,SC,Santa Catarina,Preta,249118.0,3.413654618473896,18,2.214022140221402
148,2021,RS,Rio Grande do Sul,Preta,652536.0,5.717151454363089,68,4.622705642420122
149,2021,MS,Mato Grosso do Sul,Preta,168848.0,6.180344478216818,15,5.119453924914676
150,2021,MT,Mato Grosso,Preta,340664.0,9.80788675429727,20,8.16326530612245
151,2021,GO,Goiás,Preta,598347.0,8.341708542713567,37,5.929487179487179
152,2021,DF,Distrito Federal,Preta,333936.0,10.909090909090908,10,5.376344086021505
153,2019,RO,Rondônia,Parda,1122045.0,64.20626895854399,87,65.41353383458647
154,2019,AC,Acre,Parda,641830.0,75.32994923857868,49,75.38461538461539
155,2019,RR,Roraima,Parda,351540.0,69.70021413276231,25,62.5
156,2019,PA,Pará,Parda,6189603.0,73.03030303030303,269,83.28173374613003
157,2019,AP,Amapá,Parda,616768.0,73.96984924623115,55,91.66666666666666
158,2019,TO,Tocantins,Parda,1032720.0,67.27642276422763,86,68.8
159,2019,MA,Maranhão,Parda,4830126.0,69.22300706357215,227,77.73972602739725
160,2019,PI,Piauí,Parda,2310032.0,70.74148296593187,200,66.22516556291392
161,2019,CE,Ceará,Parda,6070785.0,66.96878147029204,485,81.5126050420168
162,2019,RN,Rio Grande do Norte,Parda,1869231.0,53.46038114343029,143,74.09326424870466
163,2019,PB,Paraíba,Parda,2414188.0,60.7035175879397,191,87.21461187214612
164,2019,PE,Pernambuco,Parda,5756394.0,61.336032388663966,315,74.29245283018868
165,2019,AL,Alagoas,Parda,2274390.0,69.05965621840244,110,97.34513274336284
166,2019,SE,Sergipe,Parda,1590908.0,69.82845610494451,99,88.39285714285714
167,2019,BA,Bahia,Parda,8555904.0,58.24064711830131,451,73.81342062193126
168,2019,MG,Minas Gerais,Parda,10600158.0,50.20040080160321,725,44.04617253948967
169,2019,ES,Espírito Santo,Parda,2051665.0,51.46022155085599,130,58.82352941176471
170,2019,RJ,Rio de Janeiro,Parda,7026448.0,40.904522613065325,229,41.560798548094375
171,2019,SP,São Paulo,Parda,15243116.0,33.80855397148676,580,25.92758158247653
172,2019,PR,Paraná,Parda,3631878.0,32.25152129817444,150,16.70378619153675
173,2019,SC,Santa Catarina,Parda,1194551.0,16.817724068479357,61,7.891332470892626
174,2019,RS,Rio Grande do Sul,Parda,1669773.0,14.744232698094285,75,5.322924059616749
175,2019,MS,Mato Grosso do Sul,Parda,1338246.0,50.30549898167006,130,49.61832061068702
176,2019,MT,Mato Grosso,Parda,2013997.0,59.47315096251267,132,58.4070796460177
177,2019,GO,Goiás,Parda,3875592.0,55.70131180625631,330,59.78260869565217
178,2019,DF,Distrito Federal,Parda,1464318.0,49.09090909090909,104,53.06122448979592
179,2020,RO,Rondônia,Parda,1110892.0,62.701612903225815,75,55.55555555555556
180,2020,AC,Acre,Parda,679572.0,78.18181818181819,54,78.26086956521739
181,2020,AM,Amazonas,Parda,3312036.0,84.17266187050359,224,72.02572347266882
182,2020,RR,Roraima,Parda,389596.0,73.22751322751323,16,59.25925925925925
183,2020,PA,Pará,Parda,6486750.0,75.52870090634441,308,84.15300546448088
184,2020,AP,Amapá,Parda,672164.0,79.51564076690212,38,86.36363636363636
185,2020,TO,Tocantins,Parda,1059744.0,68.08510638297872,66,62.264150943396224
186,2020,MA,Maranhão,Parda,5076360.0,72.27822580645162,223,75.59322033898304
187,2020,PI,Piauí,Parda,2368882.0,72.34468937875751,232,76.0655737704918
188,2020,CE,Ceará,Parda,6309408.0,69.39393939393939,472,84.58781362007169
189,2020,RN,Rio Grande do Norte,Parda,1922496.0,54.454454454454456,144,67.28971962616822
190,2020,PB,Paraíba,Parda,2507232.0,62.71356783919598,207,86.97478991596638
