,ANO,UF,ESTADO,RACACOR,TOTAL,percentage_of_total
247,2021,MG,Minas Gerais,Preta,149,9.003021148036254
248,2021,MS,Mato Grosso do Sul,Branca,96,32.76450511945392
249,2021,MS,Mato Grosso do Sul,Indígena,33,11.262798634812286
250,2021,MS,Mato Grosso do Sul,Parda,149,50.85324232081911
251,2021,MS,Mato Grosso do Sul,Preta,15,5.1194539249146755
252,2021,MT,Mato Grosso,Amarela,2,0.8163265306122449
253,2021,MT,Mato Grosso,Branca,82,33.46938775510204
254,2021,MT,Mato Grosso,Indígena,3,1.2244897959183674
255,2021,MT,Mato Grosso,Parda,138,56.326530612244895
256,2021,MT,Mato Grosso,Preta,20,8.16326530612245
257,2021,PA,Pará,Branca,34,9.115281501340483
258,2021,PA,Pará,Indígena,2,0.5361930294906166
259,2021,PA,Pará,Parda,317,84.98659517426273
260,2021,PA,Pará,Preta,20,5.361930294906166
261,2021,PB,Paraíba,Branca,34,13.28125
262,2021,PB,Paraíba,Parda,216,84.375
263,2021,PB,Paraíba,Preta,6,2.34375
264,2021,PE,Pernambuco,Branca,117,22.15909090909091
265,2021,PE,Pernambuco,Indígena,1,0.1893939393939394
266,2021,PE,Pernambuco,Parda,392,74.24242424242425
267,2021,PE,Pernambuco,Preta,18,3.4090909090909087
268,2021,PI,Piauí,Branca,57,16.23931623931624
269,2021,PI,Piauí,Parda,270,76.92307692307693
270,2021,PI,Piauí,Preta,24,6.837606837606838
271,2021,PR,Paraná,Amarela,3,0.29041626331074544
272,2021,PR,Paraná,Branca,735,71.15198451113262
273,2021,PR,Paraná,Indígena,12,1.1616650532429817
274,2021,PR,Paraná,Parda,256,24.78218780251694
275,2021,PR,Paraná,Preta,27,2.6137463697967087
276,2021,RJ,Rio de Janeiro,Amarela,3,0.34403669724770647
277,2021,RJ,Rio de Janeiro,Branca,447,51.26146788990825
278,2021,RJ,Rio de Janeiro,Indígena,1,0.11467889908256881
279,2021,RJ,Rio de Janeiro,Parda,336,38.53211009174312
280,2021,RJ,Rio de Janeiro,Preta,85,9.747706422018348
281,2021,RN,Rio Grande do Norte,Amarela,1,0.4273504273504274
282,2021,RN,Rio Grande do Norte,Branca,42,17.94871794871795
283,2021,RN,Rio Grande do Norte,Indígena,2,0.8547008547008548
284,2021,RN,Rio Grande do Norte,Parda,183,78.2051282051282
285,2021,RN,Rio Grande do Norte,Preta,6,2.564102564102564
286,2021,RO,Rondônia,Branca,42,29.37062937062937
287,2021,RO,Rondônia,Indígena,4,2.797202797202797
288,2021,RO,Rondônia,Parda,88,61.53846153846154
289,2021,RO,Rondônia,Preta,9,6.293706293706294
290,2021,RR,Roraima,Branca,3,6.8181818181818175
291,2021,RR,Roraima,Indígena,16,36.36363636363637
292,2021,RR,Roraima,Parda,24,54.54545454545454
293,2021,RR,Roraima,Preta,1,2.272727272727273
294,2021,RS,Rio Grande do Sul,Amarela,1,0.06798096532970768
295,2021,RS,Rio Grande do Sul,Branca,1324,90.00679809653298
296,2021,RS,Rio Grande do Sul,Indígena,1,0.06798096532970768
297,2021,RS,Rio Grande do Sul,Parda,77,5.234534330387492
298,2021,RS,Rio Grande do Sul,Preta,68,4.622705642420122
299,2021,SC,Santa Catarina,Branca,717,88.19188191881919
300,2021,SC,Santa Catarina,Indígena,3,0.36900369003690037
301,2021,SC,Santa Catarina,Parda,75,9.22509225092251
302,2021,SC,Santa Catarina,Preta,18,2.214022140221402
303,2021,SE,Sergipe,Branca,11,8.799999999999999
304,2021,SE,Sergipe,Parda,107,85.6
